a|يك(n;0.5)
hand|دست(n;0.75),پنجه(n;0.25),طرف(n;0.75),عقربه(n;0.25),دسته(n;0.25),خط(n;0.25),شركت(n;0.25),دخالت(n;0.25),كمك(n;0.25),پهلو(n;0.25),پيمان(n;0.25),يك وجب(n;0.25),دست خط(n;0.25),دادن(v;0.25),كمك كردن(v;0.25),با دست كاري را انجام دادن(v;0.25)
handbag|كيف دستن(n;0.75),كيف دستن خانم(n;0.5),كيف سفري(n;0.5)
handful|مشت(n;0.75),تني چند(n;0.5)
handgun|تفنگ دستن(n;0.75)
handicap|نقص(n;0.75),مانع(n;0.5),اشكال(n;0.5),اوانس(n;0.5),امتياز به طرف ضعيف در بازي(n;0.5),امتياز دادن(v;0.5)
handle|دستن(n;0.75),قبضه(n;0.5),قبضه شمشير(n;0.25),وسيله(n;0.25),لمس(n;0.25),احساس با دست(n;0.25),فرصت(n;0.25),دست زدن به(v;0.25),بكار بردن(v;0.25),رفتار كردن(v;0.25),استعمال كردن(v;0.25),دسته گذاشتن(v;0.25)
handling|اداره(n;0.75),رسيده(n;0.5),بررسي(n;0.5),لمس(n;0.25)
hang|چسبيدن به(v;0.75),اويختن(v;0.5),اويز كردن(v;0.5),طناب انداختن(v;0.5),بدار اويختن(v;0.5),متكي شدن بر(v;0.5),اويز بودن(v;0.5),بدار اويختن شدن(v;0.5),معلق كردن(v;0.5),فروهشتن(v;0.5),طرزاويختن(n;0.5),تمايل(n;0.5),تعليق(n;0.5),مفهوم(n;0.25)
hangar|پناهنگاه(n;0.75),اشيانه هواپيما(n;0.5)
hank|كلاف(n;0.75),كلافه(n;0.75),حلقه(n;0.5),قرقره(n;0.5),ماسوره(n;0.5),قلاب(n;0.5),طعمه شكار(n;0.5),كلاف كردن(v;0.5)
happen|رخ دادن(v;0.5),اتفاق افتادن(v;0.25),شدن(v;0.25),رو دادن(v;0.25),رخ دادن اتفاق افتادن(v;0.25),واقع شدن(v;0.25),تصادفا برخورد كردن(v;0.25),پيشامدكردن(v;0.25),ناگه رخ دادن(v;0.25),صورت گرفتن(v;0.25)
happens|اتفاق افتن(n;0.75),رخ دادن(v;0.5),اتفاق افتادن(v;0.25),شدن(v;0.25),رو دادن(v;0.25),رخ دادن اتفاق افتادن(v;0.25),واقع شدن(v;0.25),تصادفا برخورد كردن(v;0.25),پيشامدكردن(v;0.25),ناگه رخ دادن(v;0.25),صورت گرفتن(v;0.25)
happily|خوش(d;0.5)
happiness|شادي(n;0.75),خرسندي(n;0.5),سعادت(n;0.75),سعد كوفي(n;0.25),خوش وقتي(n;0.25),طالع(n;0.25),خوش ختن(n;0.25)
happy|خوشحال(j;0.75),شاد(j;0.75),خوش(j;0.5),مبارك(j;0.75),خوشبخت(j;0.5),سعيد(j;0.25),راضي(j;0.5),خرسند(j;0.5),خجستن(j;0.25),فرخ(j;0.25),فرخنده(j;0.25),مسرور(j;0.25),سعادتمند(j;0.25),سفيدبخت(j;0.25),بانوا(j;0.25),خندان(j;0.25),خوش وقت(j;0.25),محظوظ(j;0.25)
harass|اذيت كردن(v;0.5),بستوه اوردن(v;0.5),عاجز كردن(v;0.5),حمله پي درپي كردن(v;0.5),خسته كردن(v;0.5),تعرض كردن(v;0.5)
harbour|بندرگاه(n;0.75),لنگر گاه(n;0.5),پناه گاه(n;0.5),پناه دادن(v;0.5),پناه بردن(v;0.5),لنگر انداختن(v;0.5)
hard|سخت(j;0.75),دشوار(j;0.5),مشكل(j;0.5),سخت گير(j;0.25),سفت(j;0.5),پينه خوردن(j;0.25),شدن(j;0.25),قو(j;0.25),نامطبوع(j;0.25),زمخت(j;0.25),خسيس(j;0.25),پرصلابت(j;0.25),معضل(j;0.25),سنگين(j;0.25),ژرف(j;0.25),قسي(j;0.25),فربه(j;0.25),در مضيقه(d;0.25)
hardly|به سختن(n;0.75)
harm|صدمه زدن(v;0.75),اسيب رساندن(v;0.25),خسارت رساندن(v;0.25),خسارت زدن(v;0.25),خسارت وارد اوردن(v;0.25),خسارت وارد كردن(v;0.25),صدمه(n;0.75),اسيب(n;0.25),ضرر(n;0.5),زيان(n;0.5),خسارت(n;0.5),گزند(n;0.5),اذيت(n;0.25),خسران(n;0.25)
harmonise|متناسب بودن(v;0.5),هم اهنگ كردن(v;0.5),موافق كردن(v;0.5),هم اهنگ شدن(v;0.5)
harmonization|هم اهنگسازي(n;0.5)
harris|هريس(n;0.75)
harrovian|harrovian(n;0.75)
harry|غارت كردن(v;0.5),چاپيدن(v;0.5),لخت كردن(v;0.5),ويران كردن(v;0.5),ازردن(v;0.5),بستوه اوردن(v;0.5)
harvest|محصول(n;0.5),حاصل(n;0.5),خرمن(n;0.5),هنگام درو(n;0.25),وقت خرمن(n;0.25),نتيجه(n;0.25),درو كردن و برداشتن(v;0.25)
hasn|hasn(n;0.75)
hassan|حسن(n;0.75)
hat|كلاه(n;0.75),كلاه كاردينالي(n;0.25)
hate|نفرت(n;0.75),تنفر(n;0.75),دشمني(n;0.5),ستيز(n;0.25),اكراه(n;0.25),غل(n;0.25),نفرت داشتن از(v;0.25),بيزار بودن(v;0.25),كينه ورزيدن(v;0.25),تنفر داشتن از(v;0.25),عداوت كردن(v;0.25),مشمئز شدن(v;0.25)
haul|حمل و نقل(n;0.75),كشش(n;0.5),كشيدن(v;0.5),هل دادن(v;0.5),حمل كردن(v;0.5)
haulage|كشش(n;0.5)
have|داشتن(v;0.5),دارا بودن(v;0.25),مالك بودن(v;0.25),وادار كردن(v;0.25),باعي انجام كاري شدن(v;0.25),دانستن(v;0.25),صرف كردن(v;0.25),گذاشتن(v;0.25),كردن(v;0.25),رسيدن به(v;0.25),جلب كردن(v;0.25),بدست اوردن(v;0.25),در مقابل دارا(v;0.25),بهره مند شدن از(v;0.25),مالك(n;0.25)
haven|پناهگاه(n;0.75),بندرگاه(n;0.5),جا امن(n;0.5),لنگر گاه(n;0.5)
having|داشتن(n;0.75)
hayward|هيوارد(n;0.75)
hazard|خطر(n;0.75),مخاطره(n;0.5),اتفاق(n;0.25),قمار(n;0.25),در معرض مخاطره قرار دادن(v;0.25),بخطر انداختن(v;0.25)
he|او(n;0.75),خودش(n;0.25),جانور نر(n;0.25)
head|سر(n;0.75),كله(n;0.5),راس(n;0.5),دماغه(n;0.25),رهبر(n;0.5),سار(n;0.25),نوك(n;0.25),ابتدا(n;0.25),انت(n;0.25),رئيس(n;0.25),سالار(n;0.25),عنوان(n;0.25),مو سر(n;0.25),سرصفحه(n;0.25),متصدي(n;0.25),سرگذاشتن به(v;0.25),دارا سر كردن(v;0.25),رياست داشتن بر(v;0.25),رهبري كردن(v;0.25),در بالا واقع شدن(v;0.25),اصلي(j;0.25),عمده(j;0.25),بزرگ(j;0.25),بزرگ(j;0.25),فوقاني(j;0.25)
headdress|ارا مو(n;0.75),روسري زنانه(n;0.75),پوشاك سر(n;0.75),ارا سر(n;0.75),عمامه(n;0.75)
heading|عنو(n;0.75),سرصفحه(n;0.75),عنوان گذاري(n;0.5),سرنامه(n;0.25),تاريخ و شاندن نويسنده كاغذ(n;0.25),باسرتوپ زدن(n;0.25)
headline|عنو(n;0.75),سرصفحه(n;0.25),عنوان سرصفحه روزنامه(n;0.25)
headquarters|مركز فرماندهي(n;0.5),برج نظارت(n;0.25),مركز كار(n;0.25)
heal|زخم التيام يابد(n;0.75)
health|سلامتي(n;0.75),سلامت(n;0.75),تندرستن(n;0.5),هبوديدن(n;0.25),حال(n;0.25),مزاج(n;0.25)
hear|شنيدن(v;0.75),گوش كردن(v;0.5),گوش دادن به(v;0.5),استماع كردن(v;0.5),پذيرفتن(v;0.5),درك كردن(v;0.5),اطاعت كردن(v;0.5)
heart|قلب(n;0.75),دل(n;0.75),مركز(n;0.5),دل و جرات(n;0.25),رشادت(n;0.25),مغز درخت(n;0.25),لب كلام(n;0.25),جوهر(n;0.25),ضمير(n;0.25),جرات دادن(v;0.25),تشجيع كردن(v;0.25)
heartwood|درون چوب(n;0.75)
heather|ورسك(n;0.75),خلنگ زار(n;0.75),خلنگ(n;0.75),علف جاروب(n;0.5)
heaven|اسم(n;0.75),بهشت(n;0.75),خدا(n;0.5),گردون(n;0.25),قدرت پروردگار(n;0.25),سپهر(n;0.25),فلك(n;0.25),عرش(n;0.25),هفت طبقه اسمان(n;0.25),عالم روحاني(n;0.25)
heavily|به شدت(n;0.75)
heavy|سنگين(j;0.75),زياد(j;0.5),سخت(j;0.5),فربه(j;0.25),گران(j;0.25),وزين(j;0.25),كردن(j;0.25),دل سنگين(j;0.25),تيره(j;0.25),ابري(j;0.25),ابستن(j;0.25),سنگين جثه(j;0.25),قو(j;0.25),پر زحمت(j;0.25),توپر(j;0.25),بار دار(j;0.25)
heavyweight|سنگين وزن(n;0.75)
hectic|گيج كردن(j;0.75),بي قرار(j;0.5),دارا تب لازم(j;0.5)
hedge|پرچين(n;0.75),حصار(n;0.5),مانع(n;0.5),راه بند(n;0.5),چپر(n;0.5),پرچين ساختن(v;0.5),خاربست درست كردن(v;0.5),احاطه كردن(v;0.5),طفره زدن(v;0.5),از زير در رفتن(v;0.5)
height|ارتفاع(n;0.75),لنديدن(n;0.5),ارتفاعه(n;0.5),رفعت(n;0.25),جا مرتفع(n;0.25),اسمان(n;0.25),تكبر(n;0.25),در بحبوحه(n;0.25),فراز(n;0.25),علي(n;0.25),عرشه(n;0.25)
heighten|بالا بردن(v;0.75),بلند كردن(v;0.5),لندن كردن(v;0.5),زياد كردن(v;0.5),شدن كردن(v;0.5),بسط دادن(v;0.5)
held|برگزار شدن(n;0.75)
helicopter|هلي كوپ(n;0.75)
help|كمك(n;0.75),پايمردي(n;0.25),ياري(n;0.75),مساعدت(n;0.25),نوكر(n;0.25),مزدور(n;0.25),امداد(n;0.25),سودمند واقع شدن(v;0.25),كمك كردن(v;0.25),ياري كردن(v;0.25),مساعدت كردن(v;0.25),همدستن كردن(v;0.25),مدد رساندن(v;0.25),به كردن چاره كردن(v;0.25)
helpfully|helpfully(n;0.75)
hence|از اين رو(d;0.75),بنابر اين(d;0.5),از اين جهت(d;0.25),پس از اين(d;0.25),يعني(n;0.25)
henry|هنري(n;0.75)
her|او(n;0.75)
herald|قاصد(n;0.75),منادي(n;0.75),پيشرو(n;0.5),جارچي(n;0.5),خبر رسان(n;0.5),جلو دار(n;0.5),اعلام كردن(v;0.5),راهنما كردن(v;0.5),از امدن يا وقوع چيزي خبر دادن(v;0.5)
herd|گله(n;0.75),رمه(n;0.5),گروه(n;0.25),جمعيت(n;0.25),گرد امدن(v;0.25),جمع شدن(v;0.25),متحد كردن(v;0.25)
here|اينجا(d;0.75),در اين جا(d;0.5),در اين موقع(d;0.25),اكنون(d;0.25),در اين باره(d;0.25),بدين سو(d;0.25)
hermetically|بستن(n;0.75)
hero|قهرم(n;0.75),دلاور(n;0.25),گرد(n;0.25),پهلو داستان(n;0.25),يل(n;0.25),مبارز(n;0.25),مجاهد(n;0.25)
hers|مال انزن(n;0.75),او(n;0.25)
herself|خودش(n;0.75),خودش را(n;0.75),خود ان زن(n;0.25)
heuliez|heuliez(n;0.75)
heuristic|اكتشافي(j;0.75),پي برندن(j;0.5),ابتكاري(j;0.5),كشف كردن(n;0.5)
hexagonal|شش ضلعي(n;0.75)
hexamethonium|hexamethonium(n;0.75)
hide|پنه كردن(v;0.75),مخفي كردن(v;0.75),نهفتن(v;0.75),پنهان شدن(v;0.5),پوشيدن(v;0.25),مخفي نگاه داشتن(v;0.25),پوست كندن(v;0.25),ابشتن(v;0.25),خود را پنهان ساختن(v;0.25),پوست(n;0.5),چرم(n;0.5),پوست خام گاو وگوسفند وغيره(n;0.25)
hierarchical|سلسله مراتبي(n;0.75)
hierarchy|سلسله مراتب(n;0.75),گروه فرشته نه گانه(n;0.25),سلسله سران روحاني وشيوخ(n;0.25)
high|عالي(j;0.75),زياد(j;0.5),لندن(j;0.5),علو(j;0.25),مرتفع(j;0.25),لندن پايه(j;0.25),متعال(j;0.25),رشيد(j;0.25),وافرگر(j;0.25),گزاف(j;0.25),علي(j;0.25),تند زياد(j;0.25),با صدا زير(j;0.25),با صدا لندن(j;0.25),بو گرفتن(j;0.25),اندكي فاسد(j;0.25),عالي مقام(j;0.25),رفيع(j;0.25),خوشحال(j;0.25),عاليجناب(j;0.25),عليه(j;0.25),خشن(j;0.25),جا مرتفع(n;0.25)
highlight|برجستن(n;0.75)
highly|بسيار(n;0.75)
hijacker|هكر(n;0.75)
hill|تپه(n;0.75),ماهور(n;0.25),تل(n;0.5),پشته(n;0.25),توده(n;0.25),توده كردن(v;0.25),انباشتن(v;0.25)
hillside|دامنه كوه(n;0.75),دامنه(n;0.75),سرازيري تپه(n;0.5),سينه كش(n;0.5)
him|او را(n;0.75),به او(n;0.5)
himalaya|هيماليا(n;0.75)
himself|خود(n;0.75),خودش(n;0.75),خود او(n;0.5)
hinduism|ايين هندو(n;0.75)
hint|اشاره(n;0.75),تذكر(n;0.75),ايما(n;0.5),سخن رهنما(n;0.5),چيز خيلي جز(n;0.25),اشاره كردن(v;0.5)
hip|مفصل ران(n;0.5),كفل(n;0.25),قسمت ميان ران و تهيگاه(n;0.25),مختل كردن(v;0.25),جستن(v;0.25),لي لي كردن(v;0.25)
his|خود(n;0.75)
historian|مورخ(n;0.75),تاريخ نويس(n;0.5),تاريخ دان(n;0.5),تاريخ گزار(n;0.25)
historical|تاريخي(j;0.75),مبني بر تاريخ(j;0.25)
history|تاريخ(n;0.75),تاريخچه(n;0.75),سابقه(n;0.75),پيشينه(n;0.5),بيمارنامه(n;0.25)
hit|اصابت(n;0.75),موفقيت(n;0.5),تصادف(n;0.5),ضربت(n;0.25),نمايش يا فيلم پر مشتري(n;0.25),ضرب(n;0.25),زدن(v;0.5),خوردن(v;0.25),خوردن به(v;0.25),اصابت كردن به هدف زدن(v;0.25)
hitherto|تا كنون(d;0.75),تابحال(d;0.5),پيش از اين(d;0.5),تا اينجا(d;0.5),سابق بر اين(d;0.5)
hiv|اچ اي وي(n;0.75)
hmg|HMG(n;0.75)
hoax|شوخي فريب اميز(n;0.5),دست انداختن(v;0.5),گول زدن(v;0.5)
hold|نگه داشتن(v;0.5),گرفتن(v;0.5),باز داشتن(v;0.25),منعقد كردن(v;0.25),نگاه داشتن(v;0.25),در دست داشتن(v;0.25),جا گرفتن(v;0.25),تصرف كردن(v;0.25),چسبيدن(v;0.25),گاهداردن(n;0.25)
holder|داردن(n;0.75),بست(n;0.25),نگاه داشتن(n;0.25),گرفتن(n;0.25),اشغال كردن(n;0.25),سه پايه(n;0.25)
holding|برگزاري(n;0.75),موجودي(n;0.5),مايملك(n;0.25),دارا(n;0.5),ملك متصرفي(n;0.25)
hole|سوراخ(n;0.75),حفره(n;0.75),گودال(n;0.5),چال(n;0.5),خندق(n;0.25),روزنه(n;0.5),منفذ(n;0.25),غار(n;0.25),نقب(n;0.25),لانه خرگوش و امثال ان(n;0.25),گودي(n;0.25),رخنه(n;0.25),سفت(n;0.25),غول(n;0.25),فرج(n;0.25),فرجه(n;0.25),روزنه كندن(v;0.25),در لانه كردن(v;0.25),سوراخ سوراخ كردن يا بريدن(v;0.25)
holiday|تعطيل(n;0.5),روز تعطيل(n;0.5),عيد(n;0.5),روزبيكاري(n;0.25),تعطيل مذهبي(n;0.25)
holiness|قدوسيت(n;0.75),تقدس(n;0.75),پرهيز كاري(n;0.5),لقب پاپ(n;0.5)
hollow|توخالي(j;0.75),پوچ(j;0.75),تهي(j;0.5),خالي(j;0.5),پوك(j;0.5),ميان تهي(j;0.5),گودافتادن(j;0.5),مجوف(j;0.5),مقعر(j;0.5),بي حقيقت(j;0.25),غير صميمي(j;0.25),خشك(j;0.25),حفره(n;0.5),گودي(n;0.5),كاواك(n;0.25),چاله(n;0.25),گود شدن(v;0.25),خالي كردن(v;0.25)
holocaust|قتل عام(n;0.5),كشتار همگاني(n;0.5),همه سوزي(n;0.5),معمولا بوسيله سوزاندن(n;0.5),اتش سوزي همگاني(n;0.5)
home|خانه(n;0.75),وطن(n;0.5),ميهن(n;0.25),اقامت گاه(n;0.25),شهر(n;0.25),موطن(n;0.25),بخانه برگشتن(v;0.25),خانه دادن(v;0.25),منزل دادن(v;0.25),بطرف خانه(j;0.25)
homeless|بي خانم(j;0.75),دربدر(j;0.5),بي مسكن(j;0.5),غريب(j;0.5),خانه بدوش(j;0.5),بي مكان و منزل(j;0.25),اواره(j;0.25),سر گردان(j;0.25)
homely|سادن(j;0.75),زشت(j;0.75),مثل خانه(j;0.75),بد گل(j;0.75),خودماني وصميمانه(j;0.75),فاقد جمال(j;0.5),فروتن(j;0.5)
homeowner|صاحب خانه(n;0.75)
homogeneous|مشابه(j;0.5),يكجور(j;0.5),هم جنس(j;0.25)
homogenous|همگن(n;0.75)
honest|صادق(j;0.75),امين(j;0.5),راستكار(j;0.5),راد(j;0.25),درست كار(j;0.25),بامروت(j;0.25),بي غل و غش(j;0.25)
honey|عسل(n;0.75),انگبين(n;0.5),شهد(n;0.5),عزيز(n;0.25),معشوق(n;0.25),عسلي كردن(v;0.25),چرب و نرم كردن(v;0.25),محبوب(j;0.25)
honour|افتخار(n;0.75),احترام(n;0.75),شرف(n;0.75),شرافت(n;0.5),نجابت(n;0.25),ناموس(n;0.5),عزت(n;0.5),غيرت(n;0.5),تشريفات امتيازويژه(n;0.25),جناب(n;0.25),حضرت(n;0.25),فخر(n;0.25),اب رو(n;0.25),برو(n;0.25),خوشنامي(n;0.25),محترم شمردن(v;0.5),مفتخر كردن(v;0.25),احترام كردن به(v;0.25),امتياز تحصيلي اوردن(v;0.25),شاگرد اول شدن(v;0.25)
honourable|محترم(j;0.75),شريف(j;0.75),بزرگوار(j;0.5),شرافتمندانه(j;0.5),عاليجناب(j;0.5),لايق احترام(j;0.5),سربلند(j;0.5),خوش طينت(j;0.5),پسنديدن(j;0.5),شايان تعريف(j;0.25),ابرومند(j;0.25)
hop|رازك(n;0.5),ابجو(n;0.5),افيون(n;0.5),طفره(n;0.5),رازك بار اوردن(v;0.5),لي لي كردن(v;0.5),رو يك پا جستن(v;0.5),جست وخيز كوچك كردن(v;0.5),رقصيدن(v;0.5),پرواز دادن(v;0.5),لنه لنه راه رفتن(v;0.5),پلكيدن(v;0.5),خميدن(v;0.5)
hope|اميد(n;0.75),اميدواري چشم داشتن(n;0.25),چشم انتظاري(n;0.25),انتظار داشتن(v;0.25),ارزو داشتن(v;0.25),اميدوار بودن(v;0.25),پشت گرمي داشتن به(v;0.25)
hopelessness|نا چاري(n;0.5)
horn|شاخ(n;0.75),بوق(n;0.75),شيپور(n;0.5),نوك(n;0.5),كرنا(n;0.25),پياله(n;0.25),شاخه(n;0.25),شاخي(j;0.5)
horrible|ناگوار(j;0.75),مهيب(j;0.5),سهمگين(j;0.5),رشت(j;0.25),موحش(j;0.25),ترس اور(j;0.25),ژيان(j;0.25)
horrified|وحشت(n;0.75)
horror|وحشت(n;0.75),ترس(n;0.5),دهشت(n;0.5),خوف(n;0.5),مورمور(n;0.25),يزاردن(n;0.25),ترس زياد(n;0.25),خوفناكي(n;0.25)
horse|اسب(n;0.75),سواره نظام(n;0.25),قوه اسب(n;0.25),ماشين بخار و غيره(n;0.25),پاره(n;0.25),اسبي(j;0.5),وابستن به اسب(j;0.25),اسب دار كردن(v;0.25),سوار اسب كردن(v;0.25),اسب دادن به(v;0.25),بالا بردن(v;0.25),برپشت سوار كردن(v;0.25),شلاق زدن(v;0.25),بدوش كشيدن(v;0.25),سواري كردن(v;0.25)
horseback|سوار بر اسب(d;0.75),برپشت اسب(d;0.5)
horstead|horstead(n;0.75)
horton|هورتون(n;0.75)
hose|شلنگ(n;0.75),جوراب(n;0.5),لوله اب اتش شاندن(n;0.25)
hospital|بيمارستان(n;0.75),مريضخانه(n;0.25)
hostage|گروه(n;0.75),گرو(n;0.5),شخص گرو(n;0.25),وثيقه(n;0.25)
hostility|خصومت(n;0.75),عداوت(n;0.5),ضديت(n;0.5),عمليه خصمانه(n;0.25),ستيزه(n;0.25)
hot|داغ(j;0.75),گرم(j;0.75),حاد(j;0.25),تند(j;0.25),تيز(j;0.25),تابان(j;0.25),اتشين(j;0.25),تند مزاج(j;0.25),برانگيختن(j;0.25),پر حرارت(j;0.25),با حرارت(j;0.25),تفته(j;0.25),داغ كردن يا شدن(v;0.25),گرم(دن d;0.25)
hotel|هتل(n;0.75),مهمانخانه(n;0.25),مسافرخانه(n;0.25)
hour|ساعت(n;0.75),وقت(n;0.25),مدت كم(n;0.25)
house|خانه(n;0.75),مسكن(n;0.5),جا(n;0.5),منزل(n;0.5),محل سكني(n;0.25),منزلگاه(n;0.25),سرا(n;0.25),جايگاه(n;0.25),برج(n;0.25),اهل خانه(n;0.25),اهل بيت(n;0.25),نشيمن(n;0.25),خانقاه(n;0.25),جا دادن(v;0.25),منزل دادن(v;0.25),پناه دادن(v;0.25),منزل گرفتن(v;0.25),خانه نشين شدن(v;0.25)
household|خانه(j;0.75),خانوادن(n;0.75),اهل بيت(n;0.5),مستخدمين خانه(n;0.25),خاند(n;0.5),صميمي(n;0.25),اهل خانه(n;0.25),خانم(n;0.25)
hover|پلكيدن(v;0.5),شناور و اويز بودن(v;0.5),در ترديد بودن(v;0.5),منتظر شدن(v;0.5),در حال توقف پر زدن(v;0.5)
how|چگونه(d;0.75),چگونه(d;0.75),چه(d;0.75),چطور(d;0.5),از چه طريق(d;0.25),به چه سبب(d;0.25),چنانكه(d;0.25),چگونه(n;0.75),طرز(n;0.5),روش(n;0.5),راه(n;0.25),متد(n;0.25),كيفيت(n;0.25),سان(n;0.25)
however|اما(n;0.75),هر چند(n;0.5),اگر چه(n;0.5),معهذا(n;0.25),هر قدر هم(n;0.25),بهر حال(d;0.5),ضمنا(d;0.25),با اينكه(d;0.25),هنوز(d;0.25)
hsc|HSC(n;0.75)
huge|كل(j;0.5),عظيم الجثه(j;0.25),سترگ(j;0.25),گنده(j;0.25),تنومند(j;0.25),حجيم(j;0.25),يكدنيا(j;0.25)
hugo|هوگو(n;0.75)
hullavington|hullavington(n;0.75)
human|انساني(j;0.75),وابستن بانس(j;0.25),دارا خو انسان(j;0.25),شخص(n;0.25)
humanitarian|انس دوستانه(n;0.75)
humility|فروتني(n;0.75),تواضع(n;0.75),افتاده(n;0.5),حقارت(n;0.5),تحقير(n;0.5),خشوع(n;0.5),پستن(n;0.5),بي اهميتي(n;0.5)
humour|شوخي(n;0.75),تنابه(n;0.5),مشرب(n;0.25),خلق(n;0.25),خلط(n;0.25),خوش مزه(n;0.25),خاطر(n;0.25),راضي گاهداشتن(v;0.25),خوشي دادن(v;0.25)
hundred|صد(n;0.75),عدد صد(n;0.25)
hungarian|مجارستاني(n;0.75)
hungary|مجارستان(n;0.75)
hunger|گرسنه(n;0.75),قحطي(n;0.5),اشتياق(n;0.5),گرسنه كردن(v;0.25),گرسنه دادن(v;0.25),گرسنه شدن(v;0.25),اشتياق داشتن(v;0.25)
hungrily|مشتاقانه(n;0.75)
hunt|شكار(n;0.75),صيد(n;0.5),نخجير(n;0.5),جستجو(n;0.25),شكار كردن(v;0.5),صيد كردن(v;0.25),جستجو كردن در(v;0.25),تفحص كردن(v;0.25)
hurdle|مانع(n;0.75),چهار چوب جگني(n;0.5),سبد ترك(n;0.5),از رو مانع پريدن(v;0.5),فائق امدن بر(v;0.5),از رو پرچين ياچارچوب پريدن(v;0.5)
hurl|پرتاب(n;0.75),لگد(n;0.75),پرتاب كردن(v;0.75),پرت كردن(v;0.75),انداختن(v;0.75)
husband|شوهر(n;0.75),مرد(n;0.5),شدن(n;0.25),كشاورز(n;0.25),گياه پرطاقت(n;0.25),شخم زدن(v;0.25),كاشتن(v;0.25),باغباني كردن(v;0.25),شوهر دادن(v;0.25),جفت كردن(v;0.25),خواستگاري كردن(v;0.25)
hyperbole|مبالغه(n;0.75),اغراق(n;0.75),غلو(n;0.5),صنعت اغراق(n;0.5),گزاف گو(n;0.5)
i|من(n;0.75)
ian|ي(n;0.75)
ibrox|ibrox(n;0.75)
icb|ICB(n;0.75)
icelandic|ايسلندي(n;0.75),زبان ايسلندي(j;0.5)
ici|ICI(n;0.75)
icl|ICL(n;0.75)
iconographic|iconographic(n;0.75)
idea|فكر(n;0.5),انديشه(n;0.5),تصور(n;0.5),خيال(n;0.25),انگاره(n;0.25),گمان(n;0.25),نيت(n;0.25),معني(n;0.25),اگاهي(n;0.25),نقشه كار(n;0.25),طرز تفكر(n;0.25),خاطره(n;0.25),خاطر(n;0.25),مراد(n;0.25),طرز فكر(n;0.25)
idealistic|ارماني(j;0.5),ارمان گرا(j;0.5),وابستن به ارمانگرا(j;0.5)
ideally|در حالت ايده ال(n;0.75)
identical|يكس(j;0.75),همان(j;0.5),مساو(j;0.5),جور(j;0.25),عيني(j;0.25),منطبق با(j;0.25)
identification|شناسا(n;0.75),تعيين هويت(n;0.5),تطبيق(n;0.25),تميز(n;0.25)
identify|شناسا(n;0.75),شناختن(v;0.5),تميز كردن(v;0.25),تشخيص هويت دادن(v;0.25),يكي كردن(v;0.25),تميز دادن(v;0.25)
identity|هويت(n;0.75),شخصيت(n;0.25),شناسا(n;0.5),اصليت(n;0.25),نهاد(n;0.25),عينيت(n;0.25),تطابق(n;0.25)
ideology|مرام(n;0.5),مبحي فكر و ارزوا باطني(n;0.25),طرز تفكر(n;0.25),ايدئولوژي(n;0.25),انگاره(n;0.25)
idly|idly(n;0.75)
if|اگر(n;0.75),چنانچه(n;0.5),ايا(n;0.25),خواه(n;0.25),چه(n;0.25),هر گاه(n;0.25),هر وقت(n;0.25),اي كاش(n;0.25),كاش(n;0.25),بفرض(n;0.25),شرط(n;0.25),تصور(n;0.25)
ignorant|ناد(j;0.75),عامي(j;0.5),عام(j;0.25)
ignore|چشم پوشي(n;0.75)
ii|دوم(n;0.75)
ill|بيمار(j;0.75),مريض(j;0.5),بد(j;0.75),سو(j;0.5),ناخوش(j;0.5),عليل(j;0.25),معلول(j;0.25),رنجور(j;0.25),ناشي(j;0.25),زيان اور(j;0.25),بديدن(j;0.25),از رو دخواهدن و شرارت(j;0.25),غير دوستانه(j;0.25),خراب(j;0.25),خسته(j;0.25),زيان(n;0.25),بطور ناقص(d;0.25)
illegal|غير قانوني(j;0.75),غير مجاز(j;0.5),نا مشروع(j;0.25),حرام(j;0.25),غير مشروع(j;0.25)
illness|يماردن(n;0.75),ناخوشي(n;0.5),مرض(n;0.5),عارضه كسالت(n;0.25),اهو(n;0.25),كسالت(n;0.25),شرارت(n;0.25),بدي(n;0.25),خسته(n;0.25),سقم(n;0.25)
illustrate|ن دادن(v;0.75),توضيح دادن(v;0.25),شرح دادن(v;0.25),با مثال روشن ساختن(v;0.25),مصور كردن(v;0.25),مزين شدن(v;0.25),اراستن(v;0.25)
illustrated|مصور(j;0.75)
image|تصوير(n;0.75),تمثال(n;0.25),تصور(n;0.5),شكل(n;0.25),شمايل(n;0.25),منظر(n;0.25),مجسم كردن(v;0.25),خوب شرح دادن(v;0.25),مجسمساختن(v;0.25)
imaginative|دارا قوه تصور زياد(j;0.5),پر انگاشت(j;0.5),پرپندار(j;0.5),پر اوهام(j;0.5)
imagine|تصور كردن(n;0.75)
immature|نارس(j;0.75),رشد نيافتن(j;0.5),نا بالغ(j;0.5),سبز(j;0.5),بي تجربه(j;0.5),نا بهنگام(j;0.25)
immediate|فوري(j;0.75),ضروري(j;0.5),بي درنگ(j;0.5),ديهدن(j;0.25),بلا واسطه(j;0.25),پهلو(j;0.25),اني(j;0.25)
immediately|بلافاصله(d;0.75),مستقيما(d;0.25)
